constructorId,constructor_name,constructor_country,constructor_is_active,constructor_races_won,constructor_avg_point,constructor_times_in_top_10
180,Lotus-Ford,British,0,11,1.6328125,69
181,Brabham-BRM,British,0,0,0.3170731707317073,18
182,Brabham-Ford,British,0,2,1.1724137931034482,26
183,Brabham-Climax,British,0,2,0.8387096774193549,45
184,LDS-Climax,South African,0,0,0.0,1
185,LDS-Alfa Romeo,South African,0,0,0.0,0
186,Cooper-Ford,British,0,0,0.0,0
187,McLaren-Ford,British,0,4,1.6436781609195403,55
188,McLaren-Serenissima,British,0,0,0.5,1
189,Eagle-Climax,American,0,0,0.3076923076923077,4
190,Eagle-Weslake,American,0,1,0.6190476190476191,4
191,Brabham-Repco,British,0,8,2.272727272727273,41
192,Cooper-Ferrari,British,0,0,0.0,0
193,Cooper-ATS,British,0,0,0.0,0
194,McLaren-BRM,British,0,0,0.42857142857142855,5
195,Cooper-BRM,British,0,0,0.9523809523809523,10
196,Matra-Ford,French,0,9,3.25,34
197,BRM-Ford,British,0,0,0.0,1
198,McLaren-Alfa Romeo,British,0,0,0.0,1
199,March-Alfa Romeo,British,0,0,0.0,0
200,March-Ford,British,0,0,0.8604651162790697,12
201,Lotus-Pratt &amp; Whitney,British,0,0,0.0,1
202,Shadow-Ford,British,0,0,0.36538461538461536,8
203,Shadow-Matra,British,0,0,0.0,0
204,Brabham-Alfa Romeo,British,0,0,0.3050847457627119,17
205,Lotus,Malaysian,0,0,0.0,0
206,Marussia,Russian,0,0,0.01834862385321101,1
207,Caterham,Malaysian,0,0,0.0,0
208,Lotus F1,British,0,2,4.584415584415584,75
209,Manor Marussia,British,0,0,0.01282051282051282,1
210,Haas F1 Team,American,1,0,0.7724358974358975,56
211,Racing Point,British,0,1,3.723684210526316,42
213,AlphaTauri,Italian,1,1,1.9657534246575343,52
214,Alpine F1 Team,French,1,1,3.3392857142857144,71
